date,COD_mod
2025-06-04,639
2025-06-04,641
2025-06-04,646
2025-06-04,647
2025-06-04,648
2025-06-04,649
2025-06-04,650
2025-06-04,651
2025-06-04,652
2025-06-04,653
2025-06-04,654
2025-06-04,655
2025-06-04,656
2025-06-04,657
2025-06-04,658
2025-06-04,659
2025-06-04,660
2025-06-04,671
2025-06-04,672
2025-06-04,685
2025-06-04,686
2025-06-04,710
2025-06-04,711
2025-06-04,713
2025-06-04,714
2025-06-04,718
2025-06-04,719
2025-06-04,720
2025-06-04,721
2025-06-04,722
2025-06-04,723
2025-06-04,730
2025-06-04,731
2025-06-04,732
2025-06-04,733
2025-06-04,734
2025-06-04,735
2025-06-04,736
2025-06-04,737
2025-06-04,741
2025-06-04,742
2025-06-04,743
2025-06-04,747
2025-06-04,750
2025-06-04,751
2025-06-04,752
2025-06-04,753
2025-06-04,754
2025-06-04,755
2025-06-04,756
2025-06-04,823
2025-06-04,824
2025-06-04,825
2025-06-04,830
2025-06-04,831
2025-06-04,832
2025-06-04,833
2025-06-04,834
2025-06-04,852
2025-06-04,853
2025-06-04,854
2025-06-04,864
2025-06-04,865
2025-06-04,866
2025-06-04,867
2025-06-04,868
2025-06-04,870
2025-06-04,881
2025-06-04,887
2025-06-04,888
2025-06-04,889
2025-06-04,890
2025-06-04,891
2025-06-04,892
2025-06-04,893
2025-06-04,906
2025-06-04,909
2025-06-04,910
2025-06-04,914
2025-06-04,915
2025-06-04,916
2025-06-04,917
2025-06-04,918
2025-06-04,919
2025-06-04,920
2025-06-04,921
2025-06-04,922
2025-06-04,951
2025-06-04,952
2025-06-04,953
2025-06-04,954
2025-06-04,961
2025-06-04,962
2025-06-04,963
2025-06-04,964
2025-06-04,965
2025-06-04,966
2025-06-04,967
2025-06-04,968
2025-06-04,969
2025-06-04,970
2025-06-04,971
2025-06-04,972
2025-06-04,973
2025-06-04,974
2025-06-04,975
2025-06-04,976
2025-06-04,977
2025-06-04,978
2025-06-04,979
2025-06-04,980
2025-06-04,982
2025-06-04,983
2025-06-04,984
2025-06-04,1122
2025-06-04,1123
2025-06-04,1124
2025-06-04,1126
2025-06-04,1738
2025-06-04,1739
2025-06-04,1740
2025-06-04,1741
2025-06-04,1742
2025-06-04,1743
2025-06-04,1744
2025-06-04,1745
2025-06-04,1746
2025-06-04,1747
2025-06-04,1748
2025-06-04,1749
2025-06-04,1750
2025-06-04,1751
2025-06-04,1752
2025-06-04,1754
2025-06-04,1755
2025-06-04,1756
2025-06-04,1758
2025-06-04,1759
2025-06-04,1760
2025-06-04,1761
2025-06-04,1762
2025-06-04,1763
2025-06-04,1764
2025-06-04,1765
2025-06-04,1766
2025-06-04,1767
2025-06-04,1768
2025-06-04,1769
2025-06-04,1770
2025-06-04,1771
2025-06-04,1772
2025-06-04,1774
2025-06-04,1775
2025-06-04,1776
2025-06-04,1777
2025-06-04,1778
2025-06-04,1781
2025-06-04,1782
2025-06-04,1783
2025-06-04,1784
2025-06-04,1785
2025-06-04,1786
2025-06-04,1787
2025-06-04,1788
2025-06-04,1789
2025-06-04,1790
2025-06-04,1791
2025-06-04,1792
2025-06-04,1793
2025-06-04,1794
2025-06-04,1795
2025-06-04,1796
2025-06-04,1797
2025-06-04,1798
2025-06-04,1799
2025-06-04,1800
2025-06-04,1801
